Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
60,3.0,0.0,0.0,2140.0,2.0,1068.0,25172.0,0.1,68096.51560000007,0.0,0.0,6081.396195650101,,,,,,,,,,,,,,,,,,,,,25022.217469874253,11892.589095951904,41455.657200918904,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,3103.0,3.0,963.0,26135.0,0.1,56864.7061,0.0,0.0,6176.4790778160095,,,,,,,,,,,,,,,,,,,,,21003.52171737785,10684.920173408227,36711.70137721819,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,3673.0,4.0,570.0,26705.0,0.1,35391.61900000006,0.0,0.0,6232.751074075699,,,,,,,,,,,,,,,,,,,,,14139.773688147221,8286.790854120549,27386.693999060237,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,3839.0,5.0,166.0,26871.0,0.1,9064.6029,0.0,0.0,6249.371130228043,,,,,,,,,,,,,,,,,,,,,3760.4718678364943,2463.664276567703,8457.270653976446,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,4792.0,6.0,953.0,27824.0,0.1,56355.710600000064,0.0,0.0,6343.405808210373,,,,,,,,,,,,,,,,,,,,,20614.27778290583,10447.826932668662,36783.83475857313,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,5067.0,7.0,275.0,28099.0,0.1,16228.862900000006,0.0,0.0,6370.618914604187,,,,,,,,,,,,,,,,,,,,,8132.1112219164315,4311.927835268451,14020.55941223806,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,5359.0,8.0,292.0,28391.0,0.1,16119.153200000002,0.0,0.0,6399.649979352951,,,,,,,,,,,,,,,,,,,,,7322.891073494435,4248.998584439535,14008.872743153182,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,5847.0,9.0,488.0,28879.0,0.1,30024.607100000045,0.0,0.0,6447.952071428299,,,,,,,,,,,,,,,,,,,,,12188.955942952716,6797.339902617468,24124.62171865466,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,6903.0,10.0,1056.0,29935.0,0.1,66860.90499999988,0.0,0.0,6552.0987200737,,,,,,,,,,,,,,,,,,,,,23209.057327924573,12750.108706332843,42436.971968677026,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,7505.0,11.0,602.0,30537.0,0.1,36129.45809999999,0.0,0.0,6611.55367231369,,,,,,,,,,,,,,,,,,,,,14780.374867316821,8292.355389101594,27286.21757881531,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,8198.0,12.0,693.0,31230.0,0.1,39177.81220000003,0.0,0.0,6679.507230758667,,,,,,,,,,,,,,,,,,,,,15628.387922804724,8537.762562646338,28404.119203784685,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,8692.0,13.0,494.0,31724.0,0.1,30445.60770000003,0.0,0.0,6728.807317972183,,,,,,,,,,,,,,,,,,,,,13206.471659871306,7336.8038334548555,23969.525782061926,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,9108.0,14.0,416.0,32140.0,0.1,23479.56790000001,0.0,0.0,6769.772240638733,,,,,,,,,,,,,,,,,,,,,10273.823438610898,6020.796853716365,19244.12635812777,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4.0,0.0,0.0,0.0,0.0,373.0,32513.0,0.1,22418.902500000007,0.0,0.0,8505.458889245987,,,,,,,,,551.0095,36.711235,641.0622,507.97012,,,,,4728.2197,3247.6436,16864.846,405.28683,8972.127632452763,5602.125651662343,19110.500784162672,0.0004,2.1730676,0.0,2.1730676,2.1730676,9.2930386282304e-17,0.999999999991006,6.478002502780409,-8.051248330987447,8188.052,1135.0659,9837.236,-38.459793,551.0946,36.660767,641.0142,508.0944,-0.06262944,0.05267577,0.071115375,-0.10361888,8923.988495403732,1730.6369685150519,10690.229237252388,0.0003999999998995918,0.1773912,0.0,0.1773912,0.1773912,1.135747,6.0739408,1527.8829,2.4034145e-07,1.0190463,0.16926411,1.2,0.8
74,4.0,0.0,0.0,1045.0,1.0,1045.0,33558.0,0.1,62898.11900000009,0.0,0.0,8614.058759689331,,,,,,,,,,,,,,,,,,,,,23067.234983663573,10807.801787642242,38870.56069289666,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4.0,0.0,0.0,1175.0,2.0,130.0,33688.0,0.1,7699.353199999999,0.0,0.0,8627.16833114624,,,,,,,,,,,,,,,,,,,,,3161.8418976145645,2228.0965347974925,7302.912274947731,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4.0,0.0,0.0,1240.0,3.0,65.0,33753.0,0.1,3168.955099999998,0.0,0.0,8633.942966222763,,,,,,,,,,,,,,,,,,,,,1177.8509204261436,901.8199517391297,3098.588869322076,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4.0,0.0,0.0,1424.0,4.0,184.0,33937.0,0.1,9843.358800000005,0.0,0.0,8652.15987086296,,,,,,,,,,,,,,,,,,,,,4135.71013262551,2775.699900672881,9100.58019540753,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4.0,0.0,0.0,2440.0,5.0,1016.0,34953.0,0.1,65212.258200000004,0.0,0.0,8752.413225889206,,,,,,,,,,,,,,,,,,,,,23769.60424375305,11780.569329683363,41144.58832039936,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4.0,0.0,0.0,3277.0,6.0,837.0,35790.0,0.1,52499.0026,0.0,0.0,8835.42505145073,,,,,,,,,,,,,,,,,,,,,20527.128358667156,10080.417529443877,35388.537850959656,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4.0,0.0,0.0,3612.0,7.0,335.0,36125.0,0.1,18488.6538,0.0,0.0,8868.61284160614,,,,,,,,,,,,,,,,,,,,,7701.6530644826535,4672.311779138671,15940.465012959234,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,3733.0,8.0,121.0,36246.0,0.1,7764.053199999998,0.0,0.0,8880.840599775314,,,,,,,,,,,,,,,,,,,,,3520.1641093839103,2328.0683203817734,7352.811613179298,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,4819.0,9.0,1086.0,37332.0,0.1,68025.1999999999,0.0,0.0,8988.162660360336,,,,,,,,,,,,,,,,,,,,,23478.1220241942,11994.975166967693,42613.143154891695,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,5581.0,10.0,762.0,38094.0,0.1,49359.952399999995,0.0,0.0,9063.400391340256,,,,,,,,,,,,,,,,,,,,,19178.799547303002,10330.728992090882,34815.30293552326,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,5716.0,11.0,135.0,38229.0,0.1,9041.654300000007,0.0,0.0,9076.736172437668,,,,,,,,,,,,,,,,,,,,,3926.489917060219,2610.672444272087,8528.626886342674,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,5795.0,12.0,79.0,38308.0,0.1,4312.105899999999,0.0,0.0,9084.763343572617,,,,,,,,,,,,,,,,,,,,,1951.9485542901116,1395.3534909753453,4166.230258497818,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,6690.0,13.0,895.0,39203.0,0.1,50866.22900000002,0.0,0.0,9173.366411447525,,,,,,,,,,,,,,,,,,,,,18418.964139890584,10384.596493043711,34450.12188845293,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,7744.0,14.0,1054.0,40257.0,0.1,63850.05949999997,0.0,0.0,9278.629622936249,,,,,,,,,,,,,,,,,,,,,22629.42356717773,11310.086985478601,40078.76451045103,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,8798.0,15.0,1054.0,41311.0,0.1,65763.11710000006,0.0,0.0,9382.038732767105,,,,,,,,,,,,,,,,,,,,,23385.981289540578,11581.725939194013,41196.64491400731,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,5.0,0.0,0.0,0.0,0.0,455.0,41766.0,0.1,26500.610000000048,0.0,0.0,11129.030812978745,,,,,,,,,615.9021,21.504993,666.5135,590.27295,,,,,5091.6655,3230.7048,18177.494,476.50183,10459.676486229933,6036.109273616464,21785.005424609182,0.0005,2.0767946,0.0,2.0767946,2.0767946,0.0,0.9999999999923682,7.310697566030088,-7.8659036788500885,9199.794,1212.4675,11033.398,217.14558,615.98047,21.461557,666.48175,590.3892,-0.05685097,0.0456343,0.053572886,-0.09739458,9870.567264129777,1887.9209774205121,11890.524815095381,0.0003999999998995918,0.19844368,0.0,0.19844368,0.19844368,1.121211,1.0286884,112.98401,4.3556736e-19,1.0151069,0.16986504,1.2,0.8
90,5.0,0.0,0.0,174.0,1.0,174.0,41940.0,0.1,8653.452900000002,0.0,0.0,11152.908951759338,,,,,,,,,,,,,,,,,,,,,3640.2953017681966,2337.768031495059,8036.105692772184,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,5.0,0.0,0.0,315.0,2.0,141.0,42081.0,0.1,7102.053699999998,0.0,0.0,11167.23542380333,,,,,,,,,,,,,,,,,,,,,3032.9828626730564,2039.908045164638,6687.771972536201,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,5.0,0.0,0.0,1356.0,3.0,1041.0,43122.0,0.1,62045.57010000004,0.0,0.0,11270.694959163666,,,,,,,,,,,,,,,,,,,,,23257.77746963614,11136.852145588387,37910.00585581453,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,5.0,0.0,0.0,1862.0,4.0,506.0,43628.0,0.1,32799.86260000004,0.0,0.0,11321.003305912018,,,,,,,,,,,,,,,,,,,,,13785.869017755263,7523.593968565413,25875.938878834622,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,5.0,0.0,0.0,2933.0,5.0,1071.0,44699.0,0.1,69003.7011999999,0.0,0.0,11426.89903831482,,,,,,,,,,,,,,,,,,,,,24652.404505779767,12442.388914758858,42686.305899803534,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,5.0,0.0,0.0,3039.0,6.0,106.0,44805.0,0.1,5060.474999999998,0.0,0.0,11437.434732437134,,,,,,,,,,,,,,,,,,,,,1470.9035025928217,1579.3503530944674,4914.383080503089,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,5.0,0.0,0.0,3851.0,7.0,812.0,45617.0,0.1,50704.72959999995,0.0,0.0,11517.367306470871,,,,,,,,,,,,,,,,,,,,,20284.255743661022,10527.463420664286,34302.48460286833,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,5.0,0.0,0.0,4722.0,8.0,871.0,46488.0,0.1,54766.51460000002,0.0,0.0,11602.711597681046,,,,,,,,,,,,,,,,,,,,,19965.76378506512,10848.150470913808,37451.19929059017,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,5.0,0.0,0.0,5803.0,9.0,1081.0,47569.0,0.1,69520.40659999999,0.0,0.0,11708.747485399246,,,,,,,,,,,,,,,,,,,,,25110.657066935215,12259.378111449756,42460.66518033851,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,5.0,0.0,0.0,6863.0,10.0,1060.0,48629.0,0.1,65008.40869999993,0.0,0.0,11813.570532083511,,,,,,,,,,,,,,,,,,,,,23175.20439986515,11612.496648654998,40523.69891026455,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,5.0,0.0,0.0,7914.0,11.0,1051.0,49680.0,0.1,70014.5013999999,0.0,0.0,11917.952661037445,,,,,,,,,,,,,,,,,,,,,24903.23921152568,12561.984195080262,43929.01108183909,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.0,0.0,0.0,8571.0,12.0,657.0,50337.0,0.1,42383.80199999994,0.0,0.0,11982.896423339844,,,,,,,,,,,,,,,,,,,,,16759.88262841273,9672.660261309382,31435.39847468375,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5.0,0.0,0.0,9179.0,13.0,608.0,50945.0,0.1,34704.910499999976,0.0,0.0,12043.204462051392,,,,,,,,,,,,,,,,,,,,,14380.633555301918,8108.691230972055,26013.486257405006,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,6.0,0.0,0.0,0.0,0.0,761.0,51706.0,0.1,44951.274699999994,0.0,0.0,13906.635829925537,,,,,,,,,655.5975,22.032877,711.19305,633.1972,,,,,5632.662,3690.4272,18154.283,344.28976,16602.626969833826,10096.235581932364,32381.40600656358,0.0004,1.9481599,0.0,1.9481599,1.9481599,-8.292048022954892e-17,0.9999999999931082,7.119272786868853,-8.166026491262258,10052.988,1464.9109,11697.938,-1568.6381,655.674,21.988897,711.1559,633.3083,-0.056388788,0.045240857,0.057780944,-0.091449544,10767.903910088662,1963.4742014213957,12650.340957502254,-234.5534940424236,0.26783606,0.0,0.26783606,0.26783606,1.113845,0.7386832,23.61002,2.758797e-20,1.024694,0.16946231,1.2,0.8
104,6.0,0.0,0.0,1047.0,1.0,1047.0,52753.0,0.1,64067.51170000003,0.0,0.0,14015.958318471909,,,,,,,,,,,,,,,,,,,,,23719.439968481653,10920.082202994472,39311.84242600929,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,6.0,0.0,0.0,1665.0,2.0,618.0,53371.0,0.1,38481.904299999995,0.0,0.0,14076.534191131592,,,,,,,,,,,,,,,,,,,,,15899.253794716065,8616.684675551547,28713.563869039728,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,6.0,0.0,0.0,2230.0,3.0,565.0,53936.0,0.1,34689.05930000001,0.0,0.0,14132.56222820282,,,,,,,,,,,,,,,,,,,,,14264.809738497628,7715.410447578856,26682.780676320817,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,6.0,0.0,0.0,2979.0,4.0,749.0,54685.0,0.1,47874.555999999975,0.0,0.0,14206.465846776962,,,,,,,,,,,,,,,,,,,,,18369.526361194767,9796.69201602075,34184.11480095219,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,6.0,0.0,0.0,3020.0,5.0,41.0,54726.0,0.1,1958.0549999999996,0.0,0.0,14210.547645568848,,,,,,,,,,,,,,,,,,,,,599.8783282529542,645.0901521645699,1937.3327166421964,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,6.0,0.0,0.0,3984.0,6.0,964.0,55690.0,0.1,60459.155900000034,0.0,0.0,14306.596059083939,,,,,,,,,,,,,,,,,,,,,21334.806145633687,11470.13162615971,39972.307418137934,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,6.0,0.0,0.0,5065.0,7.0,1081.0,56771.0,0.1,70474.44999999995,0.0,0.0,14413.52065038681,,,,,,,,,,,,,,,,,,,,,25882.544072867677,12065.018189772536,42580.538353398464,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6.0,0.0,0.0,5982.0,8.0,917.0,57688.0,0.1,55572.958200000015,0.0,0.0,14504.6319065094,,,,,,,,,,,,,,,,,,,,,19643.286284200345,10708.806980586905,37635.2976373654,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6.0,0.0,0.0,7059.0,9.0,1077.0,58765.0,0.1,67443.81260000003,0.0,0.0,14610.81738615036,,,,,,,,,,,,,,,,,,,,,23345.333422407024,11904.984259841249,42385.6173531566,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6.0,0.0,0.0,7643.0,10.0,584.0,59349.0,0.1,35802.955300000045,0.0,0.0,14668.069301843643,,,,,,,,,,,,,,,,,,,,,14387.579931624872,8122.5803599206565,27455.49214873641,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6.0,0.0,0.0,8700.0,11.0,1057.0,60406.0,0.1,65129.7126,0.0,0.0,14772.041513204575,,,,,,,,,,,,,,,,,,,,,23016.629548928126,10814.07785229426,40882.86000393083,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,6.0,0.0,0.0,9338.0,12.0,638.0,61044.0,0.1,43650.85679999996,0.0,0.0,14834.677091360092,,,,,,,,,,,,,,,,,,,,,17891.916467508756,10225.651356052236,32300.382558463778,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,7.0,0.0,0.0,1066.0,1.0,1066.0,62110.0,0.1,70565.00000000003,0.0,0.0,17073.786788225174,,,,,,,,,,,,,,,,,,,,,26601.404786430696,11700.368296860463,42292.445095410534,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,7.0,0.0,0.0,1697.0,2.0,631.0,62741.0,0.1,40308.854099999946,0.0,0.0,17136.861593723297,,,,,,,,,,,,,,,,,,,,,16635.34194023098,9113.698178285942,29871.666797642756,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,7.0,0.0,0.0,2770.0,3.0,1073.0,63814.0,0.1,74452.00810000002,0.0,0.0,17243.08798646927,,,,,,,,,,,,,,,,,,,,,27483.26742808432,12827.311699374148,45052.52214142617,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,7.0,0.0,0.0,3840.0,4.0,1070.0,64884.0,0.1,71278.00739999981,0.0,0.0,17348.028594732285,,,,,,,,,,,,,,,,,,,,,25567.345378010617,12606.036541752741,44008.921679966894,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,7.0,0.0,0.0,4898.0,5.0,1058.0,65942.0,0.1,67401.04999999997,0.0,0.0,17451.704362392426,,,,,,,,,,,,,,,,,,,,,23978.774136317235,12164.959836369637,42115.69624056116,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,7.0,0.0,0.0,5232.0,6.0,334.0,66276.0,0.1,20465.11010000001,0.0,0.0,17485.39917397499,,,,,,,,,,,,,,,,,,,,,8801.820573967634,4808.618582733574,17560.40527844643,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,7.0,0.0,0.0,6295.0,7.0,1063.0,67339.0,0.1,69133.7,0.0,0.0,17589.7483689785,,,,,,,,,,,,,,,,,,,,,25495.195294256348,11681.126784011374,42116.49828227175,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,7.0,0.0,0.0,7353.0,8.0,1058.0,68397.0,0.1,73903.96959999992,0.0,0.0,17693.492530107498,,,,,,,,,,,,,,,,,,,,,26307.305695987456,13942.856518452762,46163.120251026994,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,7.0,0.0,0.0,8430.0,9.0,1077.0,69474.0,0.1,69493.15119999995,0.0,0.0,17799.84009385109,,,,,,,,,,,,,,,,,,,,,24427.91394439646,12190.862903499803,43270.78618346585,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,7.0,0.0,0.0,9127.0,10.0,697.0,70171.0,0.1,46115.55359999995,0.0,0.0,17868.506982564926,,,,,,,,,,,,,,,,,,,,,18284.883346722152,10034.960823343798,33437.832133770105,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
